date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:07	659/659	---M-Z	200	added ('OK')	text/plain	etag:W/%22633e93b7-6b7%22	https://www.london.ac.uk/robots.txt		(from )
18:07:07	229513/229513	---M--	200	added ('OK')	text/html	etag:%221666870215%22	https://www.london.ac.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web16/Site16/www.london.ac.uk/index.html	(from )
18:07:08	34494/34494	---M--	200	added ('OK')	image/x-icon	etag:%22630f1b4f-86be%22	https://www.london.ac.uk/themes/custom/uol/favicon/favicon.ico	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web16/Site16/www.london.ac.uk/themes/custom/uol/favicon/favicon.ico	(from https://www.london.ac.uk/)
18:07:08	17808/17808	---M-Z	200	added ('OK')	application/x-javascript	etag:0x8DA7941924111A1	https://cdn-ukwest.onetrust.com/consent/db4df6bc-8ea5-43f3-aaa5-8480472f68cc/OtAutoBlock.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web16/Site16/cdn-ukwest.onetrust.com/consent/db4df6bc-8ea5-43f3-aaa5-8480472f68cc/OtAutoBlock.js	(from https://www.london.ac.uk/)
18:07:08	21748/21748	---M-Z	200	added ('OK')	application/javascript	etag:0x8DAB6BCC7E8944A	https://cdn-ukwest.onetrust.com/scripttemplates/otSDKStub.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web16/Site16/cdn-ukwest.onetrust.com/scripttemplates/otSDKStub.js	(from https://www.london.ac.uk/)
18:07:09	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web16/Site16/www.google-analytics.com/analytics.js	(from https://www.london.ac.uk/)
18:07:09	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2027%20Oct%202022%2012:37:59%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web16/Site16/www.googletagmanager.com/gtm.45445.delayed	(from https://www.london.ac.uk/)
18:07:09	7928/7928	---M-Z	200	added ('OK')	text/css	etag:%22633e96d1-861%22	https://www.london.ac.uk/sites/default/files/css/css_GoDi3aa9qGFeUa4UMNcTDdodvkU94Hf3f8WFtkVM8dE.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web16/Site16/www.london.ac.uk/sites/default/files/css/css_GoDi3aa9qGFeUa4UMNcTDdodvkU94Hf3f8WFtkVM8dE.css	(from https://www.london.ac.uk/)
18:07:09	499536/499536	---M-Z	200	added ('OK')	text/css	etag:%22633e9278-f551%22	https://www.london.ac.uk/sites/default/files/css/css_AqplIjLyw4BMFn512ggEsbtrg7oWZmqI6vqi4awvzQs.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web16/Site16/www.london.ac.uk/sites/default/files/css/css_AqplIjLyw4BMFn512ggEsbtrg7oWZmqI6vqi4awvzQs.css	(from https://www.london.ac.uk/)
18:07:09	1449/1449	---M-Z	200	added ('OK')	text/css	etag:%22630f1cff-2aa%22	https://www.london.ac.uk/sites/default/files/css/css_5wRCVV8hiQppv9a0RnohH4YfhgXsX0ssrYk4oxaspzw.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web16/Site16/www.london.ac.uk/sites/default/files/css/css_5wRCVV8hiQppv9a0RnohH4YfhgXsX0ssrYk4oxaspzw.css	(from https://www.london.ac.uk/)
18:07:10	25028/25028	---M--	200	added ('OK')	font/woff2	etag:%22633e93b7-61c4%22	https://www.london.ac.uk/themes/custom/uol/dist/fonts/merriweather/merriweather-regular-webfont.woff2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day4/Web16/Site16/www.london.ac.uk/themes/custom/uol/dist/fonts/merriweather/merriweather-regular-webfont.woff2	(from https://www.london.ac.uk/)
